[ 2026-03-28 12:10:37 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:37 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00539603503420949, 'test_accuracy': 0.9935216903686523, 'test_precision': 0.2559598386287689, 'test_recall': 0.5465789437294006, 'test_f1': 0.32814404368400574, 'communication_cost': 182472}
[ 2026-03-28 12:10:37 | node_19 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:37 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:37 | node_13 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:37 | node_36 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:37 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004938245285302401, 'test_accuracy': 0.99424147605896, 'test_precision': 0.3686679005622864, 'test_recall': 0.5057543516159058, 'test_f1': 0.40549957752227783, 'communication_cost': 182472}
[ 2026-03-28 12:10:37 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:37 | node_47 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:37 | node_47 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:37 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004095528740435839, 'test_accuracy': 0.9918121099472046, 'test_precision': 0.18681015074253082, 'test_recall': 0.4939497709274292, 'test_f1': 0.26337742805480957, 'communication_cost': 182472}
[ 2026-03-28 12:10:37 | node_19 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:37 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:37 | node_34 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:37 | node_47 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:37 | node_19 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:37 | node_34 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
