[ 2025-12-19 00:08:27 | node_8 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 3.6202781200408936, 'test_acc\n': 0.7603305578231812, 'test_precision\n': 0.47932907938957214, 'test_recall\n': 0.4795525074005127, 'test_f1\n': 0.4560219645500183}
[ 2025-12-19 00:08:27 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:27 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:27 | node_8 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:27 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.9393155574798584, 'test_acc\n': 0.7746478915214539, 'test_precision\n': 0.35493096709251404, 'test_recall\n': 0.2746192216873169, 'test_f1\n': 0.2988653779029846}
[ 2025-12-19 00:08:27 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:27 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:28 | node_7 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.0367395877838135, 'test_acc\n': 0.8451327681541443, 'test_precision\n': 0.3850364089012146, 'test_recall\n': 0.3529427647590637, 'test_f1\n': 0.3671821057796478}
[ 2025-12-19 00:08:28 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:28 | node_7 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:28 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8014287352561951, 'test_acc\n': 0.820742666721344, 'test_precision\n': 0.3956734240055084, 'test_recall\n': 0.3551008999347687, 'test_f1\n': 0.36589285731315613}
[ 2025-12-19 00:08:28 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:28 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:28 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:28 | node_2 | INFO ] 🧩 Model added (1/5) from ['node_2']
[ 2025-12-19 00:08:28 | node_10 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.9480487704277039, 'test_acc\n': 0.7538726329803467, 'test_precision\n': 0.36560603976249695, 'test_recall\n': 0.33085188269615173, 'test_f1\n': 0.3396264910697937}
[ 2025-12-19 00:08:28 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:28 | node_10 | INFO ] 🏋️‍♀️ Training...
