[ 2026-03-29 19:39:52 | node_31 | INFO ] 🧩 Model added for round 141 (6/8) from ['node_17']
[ 2026-03-29 19:39:52 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003481105901300907, 'test_accuracy': 0.9921720623970032, 'test_precision': 0.2863871157169342, 'test_recall': 0.5836139917373657, 'test_f1': 0.3703356385231018, 'communication_cost': 5831264}
[ 2026-03-29 19:39:52 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:53 | node_34 | INFO ] 🧩 Model added for round 141 (7/10) from ['node_33']
[ 2026-03-29 19:39:53 | node_19 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_2']
[ 2026-03-29 19:39:53 | node_39 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:53 | node_13 | INFO ] 🧩 Model added for round 141 (3/6) from ['node_25']
[ 2026-03-29 19:39:53 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:53 | node_3 | INFO ] 🧩 Model added for round 141 (4/6) from ['node_34']
[ 2026-03-29 19:39:53 | node_36 | INFO ] 🧩 Model added for round 141 (5/8) from ['node_12']
[ 2026-03-29 19:39:53 | node_39 | INFO ] ✅ [FORCE] Local model added for round 141. (3/10)
[ 2026-03-29 19:39:53 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0027309181168675423, 'test_accuracy': 0.9931617975234985, 'test_precision': 0.3765796720981598, 'test_recall': 0.733348548412323, 'test_f1': 0.46341919898986816, 'communication_cost': 7289080}
[ 2026-03-29 19:39:53 | node_49 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_21']
[ 2026-03-29 19:39:53 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:53 | node_34 | INFO ] 🧩 Model added for round 141 (8/10) from ['node_44']
[ 2026-03-29 19:39:54 | node_33 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_4']
[ 2026-03-29 19:39:54 | node_40 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_31 | INFO ] 🧩 Model added for round 141 (7/8) from ['node']
[ 2026-03-29 19:39:54 | node_40 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_19 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_40 | INFO ] ✅ [FORCE] Local model added for round 141. (4/11)
[ 2026-03-29 19:39:54 | node_19 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_19 | INFO ] ✅ [FORCE] Local model added for round 141. (6/9)
[ 2026-03-29 19:39:54 | node_8 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_24 | INFO ] 🧩 Model added for round 141 (4/8) from ['node_9']
[ 2026-03-29 19:39:54 | node_40 | INFO ] 🧩 Model added for round 141 (5/11) from ['node_20']
[ 2026-03-29 19:39:54 | node_8 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_42 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_30 | INFO ] 🧩 Model added for round 141 (6/10) from ['node_25']
[ 2026-03-29 19:39:54 | node_25 | INFO ] 🧩 Model added for round 141 (4/8) from ['node_30']
[ 2026-03-29 19:39:54 | node_41 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_17']
[ 2026-03-29 19:39:54 | node_31 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_10 | INFO ] 🧩 Model added for round 141 (6/8) from ['node_34']
[ 2026-03-29 19:39:54 | node_27 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:54 | node_42 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_8 | INFO ] ✅ [FORCE] Local model added for round 141. (6/12)
