[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_8']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_7']
[ 2026-05-13 19:22:45 | node_29 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:45 | node_29 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:45 | node_29 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:45 | node_32 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:45 | node_29 | INFO ] ✅ [FORCE] Local model added for round 46. (8/12)
[ 2026-05-13 19:22:45 | node_25 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:45 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:45 | node_25 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:46 | node_25 | INFO ] ♻️ Proactively processing 3 early models for round 46.
[ 2026-05-13 19:22:46 | node_25 | INFO ] 🧩 Model added for round 46 (1/9) from ['node_17']
[ 2026-05-13 19:22:46 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2996372878551483, 'test_acc': 0.9649999737739563, 'test_precision': 0.9629448652267456, 'test_recall': 0.972059965133667, 'test_f1': 0.9664422869682312, 'communication_cost': 15053584}
[ 2026-05-13 19:22:46 | node_25 | INFO ] 🧩 Model added for round 46 (2/9) from ['node_28']
[ 2026-05-13 19:22:46 | node_25 | INFO ] 🧩 Model added for round 46 (3/9) from ['node_21']
[ 2026-05-13 19:22:46 | node_25 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:46 | node_25 | INFO ] 🧩 Model added for round 46 (4/9) from ['node_11']
[ 2026-05-13 19:22:46 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:47 | node_25 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:47 | node_25 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:47 | node_25 | INFO ] ✅ [FORCE] Local model added for round 46. (5/9)
[ 2026-05-13 19:22:48 | node_32 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:48 | node_32 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:48 | node_32 | INFO ] ♻️ Proactively processing 2 early models for round 46.
[ 2026-05-13 19:22:48 | node_32 | INFO ] 🧩 Model added for round 46 (1/5) from ['node_49']
[ 2026-05-13 19:22:48 | node_32 | INFO ] 🧩 Model added for round 46 (2/5) from ['node_16']
