[ 2026-05-13 06:02:36 | node_22 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:36 | node_22 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:36 | node_22 | INFO ] ✅ [FORCE] Local model added for round 46. (11/12)
[ 2026-05-13 06:02:36 | node_7 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:36 | node_41 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:36 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:36 | node_7 | INFO ] ✅ [FORCE] Local model added for round 47. (2/7)
[ 2026-05-13 06:02:36 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:36 | node_48 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:36 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:36 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08589430898427963, 'test_acc': 0.9800000190734863, 'test_precision': 0.9825757741928101, 'test_recall': 0.9805701971054077, 'test_f1': 0.9809779524803162, 'communication_cost': 18816980}
[ 2026-05-13 06:02:36 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:37 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12466489523649216, 'test_acc': 0.9800000190734863, 'test_precision': 0.981601893901825, 'test_recall': 0.9815821647644043, 'test_f1': 0.9811475872993469, 'communication_cost': 18816980}
[ 2026-05-13 06:02:37 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:37 | node_24 | INFO ] 📤 Sending model to 3 direct neighbors: ['node_15', 'node_25', 'node_34']
[ 2026-05-13 06:02:39 | node_41 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:39 | node_41 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:39 | node_41 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:39 | node_48 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:39 | node_48 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:39 | node_48 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:40 | node_41 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:40 | node_41 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:40 | node_41 | INFO ] ✅ [FORCE] Local model added for round 47. (1/6)
[ 2026-05-13 06:02:40 | node_48 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:40 | node_48 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:40 | node_48 | INFO ] ✅ [FORCE] Local model added for round 47. (1/6)
[ 2026-05-13 06:02:41 | node_9 | INFO ] 📤 Sending model to 11 direct neighbors: ['node', 'node_2', 'node_4', 'node_5', 'node_6', 'node_8', 'node_13', 'node_18', 'node_22', 'node_26', 'node_34']
[ 2026-05-13 06:02:41 | node_22 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_1', 'node_8', 'node_9', 'node_10', 'node_11', 'node_19', 'node_25', 'node_30', 'node_35', 'node_39', 'node_43']
[ 2026-05-13 06:02:41 | node_7 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_29', 'node_31', 'node_32', 'node_39', 'node_43', 'node_45']
[ 2026-05-13 06:02:41 | node | INFO ] 🧩 Model added for round 46 (15/15) from ['node_9']
[ 2026-05-13 06:02:41 | node_42 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
